TroubleTicketing_22-Jan-2026_16-2-59Ticket Id,Site Id,Site Name,Dependent Sites,Site Class,Site Class Code,Anchor Opco Site id,Power Model,Region,District,Power Vendor,Site Area Type,Vendor,Operator Parameter,Operator Exempted,Alarm Description,Equipment,Alarm Start Date Time,Alarm End Date Time,Problem Start Date,Problem End Date,Ticket Log Date,Logged By,Operator,Ticket Closure Date,Assigned To,Ticket Hierarchy,Digitally Dispatch,Contact No.,Assigned Date,Closed By,Total Duration,Duration,Operator SLA,Vendor SLA,SLA Remaining Time Operator,SLA Remaining Time Vendor,Alarm Status,Ticket Treatment,Ticket Status,Severity,Current Level,ETA (Mins.),ETA Time,ETR (Mins.),ETR Time,RCA Category,RCA Sub Category,RCA,Ref Ticket ID,Remarks,Alarm Detail,Problem Description,Ticket Type,Ticket Mode,Total Effected Duration,Effected Sites,Battery Discharge Start Date Time,Spare Parts,Battery Backup Duration,DG Night Time Restriction (HH:MM),Site Latitude,Site Longitude,User Lat,User Long,Distance (Kms.),DG Meter Reading,Grid Meter Reading,Fuel Level,Action Taken,Service Type,Parent Ticket Id,Refer Count,Hub Site Id,Child Ticket Count,PR No,Abstract,Service Impacted,Service Impact Start,Services Affected,Initial Analysis,X-References,TwoG Node,ThreeG Node,LTE,IP Site,Originator Id,Originator Group,Last Referred Group,Reffered to Group,RTTS Clear Group,Action,Status Reason,RTTS Opr Site Id,Fault Area,Fault Area Detail,Resolution Method,Node,Network,Site Location,Solution Details,Restoration Approval Time,Restoration Time,Approval Time,Approval Resolve Time,NET Resolution Time,Severity Change Time,Generator Asset Id,Priority,Delay Reason,TT Response Time,undefined,undefined,undefined,Hub Time(HH:MM),RTTS Ticket Create Date,Severity Change Remarks
"TT00709183","1000033","ZNJA024","ST,MB,SM(PG)","Unknown,Metro","Silver","ZNJA024","Grid + Generator","West","Jeddah","Ericsson-PV","Urban","Ericsson","Mobily,STC,Salam","","Acu Fault (Itc)","General","","","12-Jan-2026 11:31","","12-Jan-2026 11:31:32","Super Admin  - 9898976789(superadmin)","Mobily,STC,Salam","","3rd Escalation ","Parent","","","12-Jan-2026 11:31:32","","10 Day(s) 04:33:28","245","STC-No      ","No","-9 Day(s) 23:33:29      ","-9 Day(s) 23:33:29","","Standard","Assign","Critical","Third Escalation","","","","","","","","","","","","Incident","Manual","10 Day(s) 04:33:28","1","","","","","21.535","39.197","","","","","","","","Metro","","1","","","","","Outage","12-Jan-2026 11:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709296","1012750","ZTFA021","ST,SM(PG)","Unknown,Metro","Classic","ZTFA021","Grid","West","Taif","Nokia-PV","Urban","Ericsson","","","Door Alarm","General","03-Jul-2021 11:47:07","","03-Jul-2021 11:47","","21-Jan-2026 16:34:48","System","STC,Salam","","TWL-EM-WEST Velmurugan Sundaram","Parent","","509845430","21-Jan-2026 16:34:48","","1664 Day(s) 04:17:22","39940","STC-No      ","No","-1663 Day(s) 23:17:22      ","-1663 Day(s) 23:17:22","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 04:17:22","1","","","","","21.27264","40.42402","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709324","1001758","ZMD309","ST(PG)","Remote","Golden","ZMD309","Hybrid","West","Madinah","Nokia-PV","Rural","Nokia","","","Door Alarm","General","03-Jul-2021 14:37:28","","03-Jul-2021 14:37","","21-Jan-2026 16:34:54","System","STC","","TWL-EM-WEST Muhammad Karam Nizam","Parent","","503814334","21-Jan-2026 16:34:54","","1664 Day(s) 01:27:01","39937","STC-No      ","No","-1663 Day(s) 18:27:01      ","-1663 Day(s) 18:27:01","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 01:27:01","1","","","","","24.0682","38.9048","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709351","1000905","ZJZ297","ST(PG)","Remote","Classic","ZJZ297","Grid","South","Jizan","Ericsson-PV","Rural","Huawei","STC","","Acu Fault (Itc)","General","","","22-Jan-2026 14:51","","22-Jan-2026 14:51:52","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","22-Jan-2026 14:51:52","","01:13:29","1","STC-Yes      ","Yes","05:46:31      ","05:46:31","","Standard","Assign","Critical","First Escalation","","","","","","","","","","","","Incident","Manual","01:13:29","1","","","","","17.41563","42.98187","","","","","","","","Remote","","1","","","","","Outage","22-Jan-2026 14:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00708961","1005592","ZAB907","ST(PG)","Metro","Titanium","ZAB907","Grid","South","Asir","Ericsson-PV","Urban","Ericsson","","","Door Alarm","General","11-Dec-2025 18:03:02","11-Dec-2025 18:06:47","11-Dec-2025 18:03","11-Dec-2025 18:06","11-Dec-2025 18:04:36","System","STC","29-Dec-2025 16:32:13","TWL-EM-SOUTH Hesham Abdelrady Eissa","Parent","","567912898","11-Dec-2025 18:04:36","System","00:03:45","0","STC-Yes      ","Yes","04:56:15      ","04:56:15","Closed","Standard","Closed","Critical","Third Escalation","","","","","","","","","","Door Alarm","","Incident","Auto","00:03:45","1","","","","","18.23132","42.50631","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","###:19","","","P0","","","","","","00.07","","",
"TT00709248","1000010","ZMD138","ST","Remote","Classic","ZMD138","Hybrid","West","Madinah","Ericsson-PV","Unknown","Nokia","STC","","Door Alarm","General","21-Jan-2026 14:18:23","21-Jan-2026 14:22:25","21-Jan-2026 14:18","21-Jan-2026 14:22","21-Jan-2026 14:19:37","System","STC","","TWL-EM-WEST Mohammed Asker","Parent","","583689591","21-Jan-2026 14:19:37","","00:04:26","0","STC-Yes      ","Yes","06:55:34      ","06:55:34","Closed","Standard","Resolved","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Resolved","Door Alarm","","Incident","Auto","00:04:26","1","","","","","24.63842","40.31034","","","","value","value","value","Action Taken","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:03","","","P0","","","","","","00.07","","",
"TT00709186","1000030","ZRY141","ST(PG)","Metro","Classic","ZRY141","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Acu Fault (Itc)","General","","","12-Jan-2026 11:43","","12-Jan-2026 11:43:59","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","12-Jan-2026 11:43:59","","10 Day(s) 04:21:29","244","STC-No      ","No","-9 Day(s) 23:21:29      ","-9 Day(s) 23:21:29","","Standard","Assign","Critical","Third Escalation","","","","","","","","","","","","Incident","Manual","10 Day(s) 04:21:29","1","","","","","24.5822","46.5836","","","","","","","","Metro","","1","","","","","Outage","12-Jan-2026 11:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709188","1000032","ZRN006","ST(PG)","Remote","Classic","ZRN006","Grid","Central","Riyadh District","Ericsson-PV","SubUrban","Ericsson","STC","","Acu Fault (Itc)","General","","","12-Jan-2026 11:50","","12-Jan-2026 11:50:55","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","12-Jan-2026 11:50:56","","10 Day(s) 04:14:29","244","STC-No      ","No","-9 Day(s) 21:14:29      ","-9 Day(s) 21:14:29","","Standard","Assign","Critical","Third Escalation","10","12-Jan-2026 15:10:52","30","12-Jan-2026 15:10:52","","","","","reassigned","","","Incident","Manual","10 Day(s) 04:14:29","1","","","","","25.57176","47.16692","","","","","","","","Remote","","1","","","","","Outage","12-Jan-2026 11:49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709223","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 2 Running","General","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:38:55","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:38:55","","9 Day(s) 01:30:29","218","STC-No      ","No","-7 Day(s) 01:30:29      ","-7 Day(s) 01:30:29","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","9 Day(s) 01:30:29","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","Outage","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709257","1000014","ZRU086","ST(PG)","Metro","Classic","ZRU086","Hybrid","Central","Riyadh City","Unknown","Urban","Ericsson","STC","","Door Alarm","General","21-Jan-2026 15:48:00","21-Jan-2026 15:57:21","21-Jan-2026 15:48","21-Jan-2026 15:57","21-Jan-2026 15:48:09","Super Admin  - 9898976789(superadmin)","STC","","1st Escalation ","Parent","","","21-Jan-2026 15:48:09","","00:09:22","0","STC-Yes      ","Yes","04:50:38      ","04:50:38","Closed","Standard","Resolved","Critical","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","Resolved","","","Incident","Manual","00:09:22","1","","","","","24.84104","46.68206","","","","value","value","value","Action Taken","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","","","","","","","","00:09","","","P0","","","","","","00.15","","",
"TT00708953","1002820","ZAR987","ST(PG)","Metro","Classic","ZAR987","Grid","Central","Qassim","Ericsson-PV","SubUrban","Ericsson","","","Aclowvoltage","HO - AC power supply","11-Dec-2025 16:52:14","","11-Dec-2025 16:52","","11-Dec-2025 17:08:12","System","STC","","TWL-EM-CENTER ","Parent","","","11-Dec-2025 17:08:12","","41 Day(s) 23:12:15","1007","STC-No      ","","-41 Day(s) 23:04:15      ","","Open","Standard","Assign","High","Second Escalation","","","","","","","","","","Aclowvoltage","Aclowvoltage","Incident","Auto","41 Day(s) 23:12:15","1","","","","","25.89773","43.49961","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709125","1000057","ZWJ022","ST(PG)","Metro","Classic","ZWJ022","Grid","West","Tabuk","Ericsson-PV","SubUrban","Huawei","STC","","Air Condition 2 Fault","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:51","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Child","","9898976789","30-Dec-2025 15:53:51","","23 Day(s) 16:04:29","568","STC-No      ","","-23 Day(s) 15:56:29      ","","Open","Standard","Assign","High","Second Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","23 Day(s) 16:04:29","1","","","","","26.26056","36.44891","","","","","","","","Metro","TT00709124","1","HSID1","","","","Degraded","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709266","1000680","ZAQ017","ST(PG)","Remote","Classic","ZAQ017","Grid","East","Dammam","Huawei-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 02:36:20","","03-Jul-2021 02:36","","21-Jan-2026 16:34:40","System","STC","","TWL-EM-EAST Amir Khan Hamid Khan","Parent","","5059640343","21-Jan-2026 16:34:40","","1664 Day(s) 13:28:09","39949","STC-No      ","No","-1664 Day(s) 06:28:09      ","-1664 Day(s) 06:28:09","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm","","Incident","Auto","1664 Day(s) 13:28:09","1","","","","","25.981","49.47908","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709288","1007978","ZMC961","ST","Remote","Golden","ZMC961","Dual Generator","West","Makkah","Nokia-PV","Rural","Ericsson","","","Door Alarm","General","03-Jul-2021 08:37:16","","03-Jul-2021 08:37","","21-Jan-2026 16:34:45","System","STC","","TWL-EM-WEST Rishiin Kallar Ramachandran","Parent","","550976825","21-Jan-2026 16:34:45","","1664 Day(s) 07:27:13","39943","STC-No      ","No","-1664 Day(s) 00:27:13      ","-1664 Day(s) 00:27:13","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm","","Incident","Auto","1664 Day(s) 07:27:13","1","","","","","21.84251","39.46966","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709339","1000921","ZRI116","ST(PG)","Metro","Classic","ZRI116","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Acu Fault (Itc)","General","","","22-Jan-2026 12:55","","22-Jan-2026 12:55:13","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","22-Jan-2026 12:55:13","","03:09:29","3","STC-Yes      ","Yes","01:50:31      ","01:50:31","","Standard","Assign","Critical","Second Escalation","10","22-Jan-2026 12:55:38","30","22-Jan-2026 12:55:38","","","","","reassigned","","","Incident","Manual","03:09:29","1","","","","","24.79115","46.76245","","","","","","","","Metro","","1","","","","","Outage","22-Jan-2026 12:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
