Activity,Site Id,Activity Id,Site Name,Region,District,Mini Cluster,Site Type,Site Class Code,Power Vendor,Vendor,Genset Make,Threshold Value,Site Area Type,Genset Type,Technician,Reviewer,Review Date,PM Source,Status,Approve/Migration,Schedule Date,Activity Done Date,Generator Status,Pull from Site Date,Overhauling Date,Service No.,Last Done Run Hrs,Next Service Run Hrs,Done Run Hrs,Predicted/Current Run Hrs,Last Transaction Run Hrs,Last Transaction Date,Service Due,Spare Parts,Distance (Kms.),Technician Latitude,Technician Longitude,Site Latitude,Site Longitude,Site Owner,Current Review Plan Date,Activity Mode,Assign Reviewer,Rejection Category,Rejection Remarks,No. of Activtiy Visit,Auto Access Activity,Access Dur Activity,No. Of Audit Visits,Auto Access Audit,Access Dur Audit,O&M Eligibility,Last Changed Date,Predictive Maintenance Flag,Predictive Maintenance Note,iAsset Sync Status,Generator Asset Id,Due Date,Due Date,Due Date
"Cooling System PMR","1000007","AR-1105969","PNJ789","West","Jeddah","Jeddah","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","super admin ","Shailesh K Gupta","06-Feb-2026","","V","","06-Feb-2026","06-Feb-2026","","","","","","","0","0","","","","","","","","21.764683","39.169669","Tawal","06-Feb-2026","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","14-May-2024","","","","","06-Feb-2026","06-Feb-2026","06-Feb-2026",
"Cooling System PMR","1000007","AR-1105950","PNJ789","West","Jeddah","Jeddah","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","super admin ","","","","S","","05-Feb-2026","","","","","","","","","","","","","","","","","21.764683","39.169669","Tawal","05-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","14-May-2024","","","","","05-Feb-2026","05-Feb-2026","05-Feb-2026",
"Cooling System PMR","1000007","AR-1105932","PNJ789","West","Jeddah","Jeddah","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","super admin ","","","","D","","04-Feb-2026","05-Feb-2026","","","","","","","0","0","","","","","","","","21.764683","39.169669","Tawal","04-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","14-May-2024","","","","","04-Feb-2026","04-Feb-2026","04-Feb-2026",
"Tower Light System Health Check","1000007","AR-1105844","PNJ789","West","Jeddah","Jeddah","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","Shailesh K Gupta","","","","S","","18-Jan-2026","","","","","","","","","","","","","","","","","21.764683","39.169669","Tawal","18-Jan-2026","Manual","super admin ","","","3","Yes","12","4","Yes","6","Yes","14-May-2024","","","","","20-Jan-2026","20-Jan-2026","20-Jan-2026",
"Cooling System PMR","1000008","AR-1105970","ZNJ637","West","Jeddah","Jeddah","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","super admin ","Shailesh K Gupta","06-Feb-2026","","V","","06-Feb-2026","06-Feb-2026","","","","","","","0","0","","","","","","","","21.50147","39.27624","Tawal","06-Feb-2026","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","06-Feb-2026","06-Feb-2026","06-Feb-2026",
"Cooling System PMR","1000008","AR-1105951","ZNJ637","West","Jeddah","Jeddah","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","super admin ","","","","D","","05-Feb-2026","05-Feb-2026","","","","","","","0","0","","","","","","","","21.50147","39.27624","Tawal","05-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","05-Feb-2026","05-Feb-2026","05-Feb-2026",
"Cooling System PMR","1000008","AR-1105933","ZNJ637","West","Jeddah","Jeddah","Unknown","Classic","Ericsson-PV","Ericsson","","0 Months","Urban","","super admin ","","","","S","","04-Feb-2026","","","","","","","","","","","","","","","","","21.50147","39.27624","Tawal","04-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","04-Feb-2026","04-Feb-2026","04-Feb-2026",
"Cooling System PMR","1000009","AR-1105971","ZHAA034","Central","Qassim","Qassim","Unknown","Classic","Huawei-PV","Ericsson","","0 Months","SubUrban","","super admin ","Shailesh K Gupta","06-Feb-2026","","R","","06-Feb-2026","06-Feb-2026","","","","","","","","0","","","","","","","","26.5047","42.126701","Tawal","06-Feb-2026","Manual","Shailesh K Gupta","Civil: Earthing grounding","Reject Checklist","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","06-Feb-2026","06-Feb-2026","06-Feb-2026",
"Cooling System PMR","1000009","AR-1105952","ZHAA034","Central","Qassim","Qassim","Unknown","Classic","Huawei-PV","Ericsson","","0 Months","SubUrban","","super admin ","","","","D","","05-Feb-2026","05-Feb-2026","","","","","","","0","0","","","","","","","","26.5047","42.126701","Tawal","05-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","05-Feb-2026","05-Feb-2026","05-Feb-2026",
"Cooling System PMR","1000009","AR-1105934","ZHAA034","Central","Qassim","Qassim","Unknown","Classic","Huawei-PV","Ericsson","","0 Months","SubUrban","","super admin ","","","","S","","04-Feb-2026","","","","","","","","","","","","","","","","","26.5047","42.126701","Tawal","04-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","04-Feb-2026","04-Feb-2026","04-Feb-2026",
"Cooling System PMR","1000010","AR-1105972","ZMD138","West","Madinah","Madinah","Unknown","Classic","Ericsson-PV","Nokia","","0 Months","Unknown","","super admin ","Shailesh K Gupta","06-Feb-2026","","V","","06-Feb-2026","06-Feb-2026","","","","","","","0","0","","","","","","","","24.63842","40.31034","Tawal","06-Feb-2026","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","06-Feb-2026","06-Feb-2026","06-Feb-2026",
"Cooling System PMR","1000010","AR-1105953","ZMD138","West","Madinah","Madinah","Unknown","Classic","Ericsson-PV","Nokia","","0 Months","Unknown","","super admin ","","","","D","","05-Feb-2026","05-Feb-2026","","","","","","","0","0","","","","","","","","24.63842","40.31034","Tawal","05-Feb-2026","Manual","hemant Info 23","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","05-Feb-2026","05-Feb-2026","05-Feb-2026",
"Electromechanical PMR","1000010","AR-1105908","ZMD138","West","Madinah","Madinah","Unknown","Classic","Ericsson-PV","Nokia","","0 Months","Unknown","","super admin ","","","","S","","03-Feb-2026","","","","","","","","","","","","","","","","","24.63842","40.31034","Tawal","","Manual","","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","03-Feb-2026","03-Feb-2026","03-Feb-2026",
"Cooling System PMR","1000010","AR-1105888","ZMD138","West","Madinah","Madinah","Unknown","Classic","Ericsson-PV","Nokia","","0 Months","Unknown","","super admin ","","","","S","","02-Feb-2026","","","","","","","","","","","","","","","","","24.63842","40.31034","Tawal","","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","02-Feb-2026","02-Feb-2026","02-Feb-2026",
"Generator PMR","1000010","AR-1105866","ZMD138","West","Madinah","Madinah","Unknown","Classic","Ericsson-PV","Nokia","","0 Months","Unknown","","super admin ","","","","D","","28-Jan-2026","28-Jan-2026","","","","","","","0","0","","","","","","28.5266223","77.2887603","24.63842","40.31034","Tawal","28-Jan-2026","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","","","",
"Cooling System PMR","1000011","AR-1105988","ZJZ296","South","Jizan","Jizan","Unknown","Classic","Ericsson-PV","Huawei","","0 Months","Rural","","super admin ","Shailesh K Gupta","06-Feb-2026","","V","","06-Feb-2026","06-Feb-2026","","","","","","","0","0","","","","","","","","17.43723","42.96968","Tawal","06-Feb-2026","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","06-Feb-2026","06-Feb-2026","06-Feb-2026",
"Generator PMR","1000011","AR-1105868","ZJZ296","South","Jizan","Jizan","Unknown","Classic","Ericsson-PV","Huawei","","0 Months","Rural","","super admin ","","","","D","","28-Jan-2026","28-Jan-2026","","","","","","","0","0","","","","","","","","17.43723","42.96968","Tawal","28-Jan-2026","Manual","Shailesh K Gupta","","","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","28-Jan-2026","28-Jan-2026","28-Jan-2026",
"Cooling System PMR","1000012","AR-1105989","ZRF016","East","Northern Borders","Northern Borders","Unknown","Classic","Huawei-PV","Ericsson","","0 Months","Urban","","super admin ","Shailesh K Gupta","06-Feb-2026","","RS","","06-Feb-2026","","","","","RS1","","","","0","","","","","","","","29.62158","43.52804","Tawal","06-Feb-2026","Manual","Shailesh K Gupta","MEP: Battery","Activity Rejected","3","Yes","12","4","Yes","6","Yes","28-Apr-2024","","","","","06-Feb-2026","06-Feb-2026","06-Feb-2026",
"Tower Light System Health Check","1011225","AR-1105845","PDM057","East","Dammam","Dammam","Unknown","Classic","Ericsson-PV","Huawei","","0 Months","Urban","","Shailesh K Gupta","","","","S","","19-Jan-2026","","","","","","","","","","","","","","","","","26.4422","50.10012","Tawal","","Manual","super admin ","","","3","Yes","12","4","Yes","6","Yes","04-Sep-2025","","","","","","","",
